POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Pro Bowl
RB,68.0,176,4.89,19,31.8,111,4.39,7.31,1
OT,76.1,366,5.49,27,25.0,98,4.85,8.25,1
WR,72.88,193,4.36,16,30.0,116,4.4,7.07,0
CB,69.75,179,4.46,8,39.0,120,4.26,6.83,0
DE,77.6,274,4.91,19,31.1,112,4.44,7.31,1
CB,69.4,184,4.91,15,31.1,112,4.44,7.31,0
LB,74.0,230,4.85,25,31.4,110,4.44,7.31,0
LB,73.5,264,4.69,28,34.5,109,4.18,6.83,1
DT,77.75,310,5.03,26,24.5,106,4.62,7.44,1
CB,71.75,202,4.43,16,34.5,132,4.14,6.81,0
LB,75.9,258,4.61,27,34.0,122,4.18,6.94,1
DE,76.0,283,5.13,18,30.0,101,4.68,7.91,0
LB,75.88,252,4.65,23,34.0,114,4.41,7.29,0
RB,75.3,237,4.54,12,34.0,123,4.77,7.31,0
WR,70.88,195,4.4,15,36.0,120,4.15,6.77,1
S,71.38,202,4.46,20,33.5,122,4.46,7.31,0
QB,74.13,222,4.67,20,27.5,116,4.25,6.87,1
RB,73.0,248,4.81,21,34.1,112,4.29,7.31,0
CB,71.38,193,4.77,20,33.3,116,4.45,7.31,0
LB,72.25,237,4.76,19,32.9,111,4.42,7.31,1
RB,68.4,200,4.59,26,37.0,118,4.33,7.09,1
WR,72.0,198,4.45,20,36.0,112,4.37,7.31,1
LB,76.9,262,4.58,21,37.0,122,4.24,7.31,1
DE,74.88,261,4.73,30,32.5,112,4.43,7.14,1
TE,76.75,258,4.68,27,33.0,115,4.4,7.03,0
CB,72.38,188,4.65,11,33.5,132,4.25,7.26,0
LB,69.6,215,4.52,21,38.0,125,4.21,7.48,1
S,71.5,205,4.46,17,39.5,120,4.43,7.31,1
CB,72.75,195,4.55,14,41.0,135,4.18,6.77,0
CB,69.8,191,4.54,14,32.5,124,4.28,7.31,0
RB,70.88,209,4.58,21,31.0,114,4.51,7.31,0
LB,73.8,234,4.89,22,35.5,120,4.4,7.62,1
OG,76.0,273,5.31,21,27.5,104,4.45,7.31,1
RB,74.0,247,4.69,25,33.0,121,4.18,6.98,0
C,73.9,285,5.25,22,24.0,94,4.6,7.31,0
RB,72.8,259,4.83,25,33.5,109,4.37,7.79,0
CB,70.3,171,4.38,7,35.0,126,4.22,7.31,1
RB,74.0,212,4.64,17,33.5,118,4.18,7.31,1
C,76.5,304,5.25,25,27.0,95,4.92,7.74,1
RB,74.63,223,4.38,22,36.0,124,4.36,6.81,1
S,74.4,213,4.55,21,39.5,120,4.37,7.31,1
WR,68.25,175,4.35,14,39.0,124,4.0,6.69,0
OT,76.9,308,5.4,21,29.5,106,4.45,8.13,1
OT,79.5,308,5.34,25,24.5,103,4.73,7.31,1
CB,73.1,203,4.89,20,31.8,111,4.39,7.31,0
RB,73.5,217,4.41,22,38.5,127,4.4,7.09,1
CB,70.13,183,4.64,12,35.5,115,4.2,6.95,0
LB,72.3,228,4.66,24,26.0,111,4.5,7.31,1
RB,71.0,224,4.67,17,31.0,107,3.97,6.95,0
RB,69.63,202,4.6,18,31.5,118,4.45,7.0,0
DE,76.75,270,4.71,19,30.5,115,4.67,7.18,1
WR,74.3,206,4.95,17,30.7,111,4.44,7.31,1
QB,74.5,219,5.24,22,33.5,111,4.09,7.12,0
OT,77.5,333,5.22,32,26.5,104,4.87,7.91,1
DE,75.4,275,5.25,17,31.5,113,4.56,7.31,0
QB,74.13,214,4.79,20,30.0,112,4.2,7.17,1
